,Id,EssaySet,Score1,Score2,EssayText,split,llm
228,17158,7,0,0,She has a wondering mind. She has dreams about everything.,train,Score: 1
230,17024,7,0,0,Nice,train,The answer provided is incomplete
231,16990,7,1,1,"She's optimistic, in paragraph 23 (sentence 1-2) it says, 'Rose kept nodding. Maybe her life would get easier.",train,Score: 2
232,17254,7,0,0,She worries a lot about if she will beable to go to college or if she would be able to do anything. This is shown when Rose starts to talk about how her brother must have felt during the time he was there and that now that he is in college he might have to help pay to get his family higher in the world. Also with all the rsponsibility he had when he was there is now passed on to Rosa which is causing her to not have any time to do anything.,train,Score: 1.
234,18747,7,1,1,That she is a hardworker.,train,The answer provided is incomplete
235,17317,7,0,0,The conversations with Anna or Aunt Kolab was a good sisters relationship.,train,The answer provided does not
236,18741,7,0,0,"Rose is a strong person. She wants to be a rock for her sister. She tries to do her best to keep the family going.  When Anna is complaining about her Father, Rose soothes her being as gentle as possible.  Even though Rose has a lot going on, she does her best to act as a leader for the rest of the family.",train,Score: 2
237,17366,7,2,2,"In her conversation with Aunt Kolab, we can see that Rose is tactful because she does not tell her aunt the truth for fear that she would hurt Aunt Kolab's feelings or that the aunt would tell Rose's mother and it would hurt her mother's feelings.",train,Score: 2
239,17983,7,0,1,"Rose feels weighed down by what she is doing to help her family but cannot tell her Aunt Kolab because she would hurt her Aunt's feelings. This trait comes from Rose's conversation with Aunt Kolab when Aunt Kolab asks her, 'Do you feel so weighed down by what you're doing to help this family?'",train,Score: 2
240,18078,7,1,1,Rose cares about other peoples feelings. She tried to save her brother from being crushed by a boulder.,train,The answer provided does not
242,18522,7,2,2,"The one trait I depicted from this passage was that Rose is grown up.  When Rose was talking to Anna, she said that 'we have to do our part to help Paul finish college.  Then he'll get a job and pay for you and me to go to college.' Next Anna stands up and says Rose sounds like mom.",train,Score: 2
243,18647,7,0,0,One trait that could easily describe rose would be that she is stressed and somewhat anxious about everything she is doing at the moment and what more she would have to do if her brother wasn't there. I think she feels like she has a lot of weight put on her because of all the other things her family members are doing. Her mom works late and so that must mean that Rose has to watch over her sister a lot which puts kind of a lot of stress on her because she also has to worry about other things going on in her life at the same time.,train,The answer provides a clear
244,17747,7,2,2,"Rose is very considerate. She did not want to Aunt Kolab her real feelings on the situation because she was afraid it was going to hurt her. Instead, she decided to take in all the responibilites given to her and do the best with them and that concluded to Rose possibly having a change in her life.",train,Score: 1.
245,17964,7,2,2,"Rosa tries not to upset others. She tries to make them feel better by saying, 'We have our part to do to help paul finish college. Then he'll get a good job, Anna, and he'll pay for you and me to go to college,' to Anna.",train,Score: 2
246,17368,7,0,0,"I think that Rose is strong. In the story, it says that she was talking to her sister in the kitchen and that she was trying to help her sister understand their situation and help her come to better terms with it even though she felt the same way.",train,Score: 2
247,16993,7,2,2,"Rose is caring. The part where her aunt asks her is she feels weighed down because of her family, Rose did not want to answer because she felt it would hurt her Aunts feelings.",train,Score: 2
250,17289,7,0,0,"Rose is a very busy girl, often tied down with taking care of her sister Anna, and wanting her mother home. But she finds herself in a self centered position and would complain about how terrible her life is. At the end of this story, She realized that she can survive this family splitting all by herself when she said, 'Suddenly it occurred to her: here was the topic for her essay, although it was still vague. Cambodian tradition and sense of family, she realized, could survive an ocean crossing.'",train,The answer provides a clear
251,17443,7,2,2,"One trait to describe Rose would be optimistic. In paragraph 11, Rose is talking to Anna about money and Rose makes the comment that their part is help Paul finish college so he can get a good job and then help them go to college. Their family is having problems and their dad just moved away to have a better paying job and Rose is looking on the bright side and how the outcome will be good if they just don't give up.",train,Score: 2
253,18373,7,0,0,"Rose feels overwhelmed with all of her responsibilites; however, she is very understanding about what she needs to do to help her family. She displays this understanding attribute when she cups her hands and thinks to herself that her brother's fate lies partly in her hands.",train,Score: 2
255,18059,7,1,1,"Rose has the trait of responsibility.  She has to go to school, work a four-hour shift, then prepare homework.  After that she must finish homework.",train,Score: 1.
256,17843,7,2,2,"Rose is very gentle. She is very gentle because when her sister Anna was talking about how she hated that her father had to go to Los Angeles to work, Rose was trying to talk to her and tell her that the job pays more, and that it is important, and that he was helping them for their futures.",train,Score: 2
258,18121,7,0,0,"Rose is very conflicted by her responsibilities. She has to work a job, go to school, and help around her house to help send her brother to college. She is conflicted by her responsibility to her family and her exhaustion. the dream she experiences about her brother Paul confirms this.",train,Score: 2
260,18021,7,1,1,"When Rose is talking to Anna in the kitchen, you get the sense that Rose wants to please her family. She feels weighted down by all she has to do, yet she puts on a smile and attempts to act like she's fine. When Rose and Anna are talking about money, Rose tries to make light of the subject by making a joke and laughing. Although, her laugh sounds fake even to her.",train,The answer is well-structured
261,17698,7,0,0,Rose akways looks on the bright side of things.she knows she can do anything.,train,Score: 1
262,18285,7,0,0,"I think that she is really irritated and annoyed. She just isn't used to doing things the way she is forced to do them now. When she was talking to her sister and she slammed the chair back, she wasn't meaning to be harsh towards her sister, but she just exploded.",train,Score: 1.
263,18727,7,2,2,"She is considerate. Paragraph 19- Rose didn't answer. If she told the truth, she would  hurt her aunt. And probably her aunt would tell her mother.",train,Score: 2
265,17267,7,1,1,"Anna is a very strong young woman. She may not always like that her dad has to work in another town, or that her mother is always woking late into the morning, but she does it because she truly cares about her family.",train,The answer does not address
267,17779,7,2,2,"Rose could be considered protective towards her family. When her little sister Anna says, 'I'm so lonesome for Papa. It seems like he's been gone for years', Rose attempts to consul her sister by saying, ' It's only been four months... He had to go. The job in Los Angeles paid three times what he was making here'. Also, Rose is working extremely hard in school and at work to help support her family a sure sign of a desire to protect and help her family.",train,Score: 2
268,18174,7,0,0,"Rose seems to be so tired and frustrated with how busy and different her life is that she doesn't feel like doing anything. She seems like she doesn't want to hurt anybody's feelings, such as her aunt when she asks if she feels so weighed down by what she was doing to help her family. It seems like Rose just needs a break and a day to relax to get back to normal.",train,The answer provides a clear
269,17526,7,0,0,shes kind of snoby,train,Score: 0
270,17457,7,2,2,Rose is a harworking young woman who would do most anything to protect her family.  Rose puts aside her life in order to help her brother through school.  She works instead of plays so that her brother can get through school and take care of her rather than the other way around.,train,The answer provides a clear
272,16973,7,1,1,"One trait that can descirbe Rose is responsible. It seems like she is responsible for so much in her and her families life. For example, when she has to work her work shift and help her Aunt Kolab in paragraph 2.",train,Score: 2
273,18431,7,1,1,Rose is a very caring and respectful person. She does many things to help around the house. She does these chores before even doing her homework. She dreams that Paul jumps from a cliff and is weighing her down under the water. Paul in her dream refers to her caring and missing him since he has been gone for four months and him weighing her down refers to all the responsibility that she has at home.,train,The answer provides a clear
275,17315,7,2,2,"One trait that can describe Rose based on her converstation with Aunt Kolab is that she is caring. That she cares what other people feel and how what she says may hurt the other person. The statement that supports my answer would be 'Rose didn't answer. If she told the truth, she would hurt her aunt. And probably her aunt would tell her mom.' That indicated that she cared what she could have said would hurt her aunt and that her aunt could very well tell her mom. She was probably scared it would hurt her mother too.",train,Score: 2
276,17314,7,0,0,One trait that can descibe Rose is exhausted.she is exhausted because of everything that she must do for herself and the family. She must work at a restaurant after school and then go strait home to make supper and she still has homework to do. Rosa is a very buisy person and does not have enough time for herself or her homework.,train,Score: 1.
278,18665,7,0,0,"Rose is responsibility, because She said, 'she felt too young for so much respnsibilt'.",train,Score: 1
279,17487,7,0,0,shes needs to be more open with her aunt instead of being scared,train,Score: 1
280,18297,7,0,0,"Rose feels increadiably stressed, and feels as if the world, especially her brother in college and her father working far away, is on her shoulders. In Rose's dream she feels her brother is crashing down on her and she can't get away.",train,Score: 2
281,17336,7,0,0,Rose feels very weighed down because she has too much on her plate and it drives her insane because she also has to do a bunch for her family too and she feels presured not to give up and to help as much as she can and I know this because of when she had that conversation with her aunt at the end she had her aunt explain what she was feeling in a different perspective.,train,The answer provides a clear
282,18643,7,0,0,"She has a way with finding topics for her essays...suddeenly, it all occured to her :here was the topic for her essay, although it was still vague.",train,Score: 1
283,17077,7,1,0,Rose is stressed that she has to pay for her brothers college fuund and get herself through school. She practically takes care of herself and her sister. Rose also works for all of her money.,train,Score: 1.
284,18525,7,0,0,She tries to see things from another point of view.,train,The answer provided is incomplete
285,17250,7,0,0,"Strong, in paragragh tweenty three she realized that her family could survive an ocean crossing.",train,Score: 1
286,17060,7,1,1,ROSE IS VERY CARING AND THOUGHTFUL,train,Score: 1
287,17196,7,0,0,"Honest. Rose is honest when she tells Aunt Kolab about her dream. When Kolab asked if she felt weighed down, Rose didn't answer-- she was being honest with herself.",train,Score: 2
288,18299,7,0,0,She is happy but feels left out. 'Do you feel weighed down by what your doing to help this family'.,train,Score: 1
290,17821,7,2,2,"Based on Rose's conversation with Anna, you can tell that she cares for her younger sister and the rest of her family. She tries to comfort her sister by gently saying, 'It's only been four months,' when her sister talks about how it seems so long that her father has been gone.",train,Score: 2
291,18581,7,2,2,"This story shows that Rose is a mentally strong girl.  The story shows this trait in her when Rose says to Anna, 'We have our part to do to help Paul finish college.'  This sentence shows that Rose is a mentally strong because eventhough she is younger that Paul, she still has to help him finish college.  Rose also has school, work, and family obligations that she has to take care of too.",train,Score: 2
292,18693,7,0,0,"Rose seems to be reserved. She's more to herself, she won't talk about her feelings to others. At the end of the story, Aunt Kolab was asking Rose about how she felt about the family. She asked, 'Do you feel so weighed down by what you're doing to help this family.' Rose didn't answer to her Aunt Kolab she just simply nodded.",train,Score: 2
293,17995,7,0,0,She is only thinging about the money end of life and not about living for the moment Anna tells her this by saying 'money is not everything'.,train,Score: 1
294,17326,7,0,0,Rose seems like a truthfull person because she tells Anna about their dad being gone for only four months and that he is making better money.,train,Score: 2
296,17756,7,1,1,"One trait that can describe Rose based on her conversations with Anna or Aunt Kolab is responsiblity. An example from the story is when Anna comes into the kitchen and complains about her and Rose's parents being gone so much and Rose explains to Anna that their parents need to be where they are to help give their brother schooling which will in turn give them an opportunity at schooling. It is also revealed that Anna sees Rose as responsible when she says 'You sound just like Mama', who is a mature and given to seem as a responsible person.",train,Score: 2
297,17015,7,1,1,"Based on her conversation with Anna, Rose seems to be a caring person who watches out for others. When Anna says that she is lonesome for her father, Rose tries to lift her spirits and change Anna's attitude about the subject by saying that their father had to leave.",train,Score: 2
298,17632,7,0,0,"Rose is the type of person that knows her purpose and that her actions are for a reason.  In paragraph 11, she tells Anna that, 'We have our part to do to help Paul finish college.  Then he'll get a good job, Anna, and he'll pay for you and me to go to college.'  Rose shows that she has faith in Paul and faith that working hard will pay off in the end.",train,Score: 2
299,17400,7,0,0,Rose tells Anna and Aunt Kolab that she is in some way being weighed down. Rose had a dream that Paul was holding her down.,train,Score: 2
300,17582,7,1,1,One trait that best describes Rose is that she is caring.  She is caring because she loves her family and she is willing to work hard so that they can have a better life.,train,Score: 2
301,18721,7,0,0,"Rose has a sense of humor. She says, 'Only if you already have everything,' to express this humor although she does not feel like the happiness behind it is real.",train,Score: 2
305,18661,7,2,2,"Rose is a very understanding person. She understands that in order to live a life somewhere new, there will be changes that they all will have to make. She knows that they cannot all have everything they want, but in order to have somethings, they have to make some sacrifices.     While Rose is talking with Anna she explains to her that Their father getting a job in Los Angeles was something he had to do for their family. Although none of them like the fact their father is away so much, it is something they all have to learn to accept in order to have the life they want.",train,Score: 2
306,17377,7,1,1,"Rose showed that she is very understanding when she had her conversation with Aunt Kolab. As her aunt helps her think of other things and helps her keep her hope up by pointing out the bright side of things, Rose nods away at what Aunt Kolab says. Although she still questions it in her head, she understands that maybe there is still something for her in her future.",train,Score: 2
307,17414,7,0,0,Rose feels wieghed down by everything and trying to help out the family all the time. When her aunt asks her if she feels weighed down she does not answer.,train,Score: 1.
310,17907,7,0,0,"Rose feels guilty about feeling not wanting to have so much responsibilty in her family, but she is a very nice and sincere person because she didn't want to tell her aunt how she felt.",train,Score: 1.
311,17693,7,0,0,"Rose is the type of person that is curious, someone that gets to the bottom of things.'Rose felt an urgent need to relaye the dream, to expose it so it would loosen its grip on her.'",train,Score: 2
312,18464,7,0,0,Rose did not want to hurt her family by telling her aunt that she felt weighed down by helping them so much. She did not answer her aunt's question because she knew that the truth would hurt her aunt and her mother.,train,Score: 2
313,16956,7,2,2,"Rose is thoughtful and caring.  She has plenty of topics or activities in her life that she could be complaining about; however she puts others before herself.       For example in the story Aunt Kolab asks Rose if the work she does to help the family 'weighs her down'.  Rose did not want to tell her the truth because she did not want to hurt her aunt.  Therefore, one can see Rose cares about others emotions and can be characterized as thoughtful.",train,Score: 2
314,17570,7,0,0,"Rose is surrounded by lots of things and is having to grow up fast. She does not have that much time on her hands ever. Rose has to struggle with the fact that Anna is upset about there father and that there is alot of things having to be done, which she can not do everything.",train,The answer provided does not
316,17219,7,1,1,"Rose is a hrdworking girl who tries to good in everything she does.In the passage of crossing over in paragraph two ' From school she'd gone straight to the restaurant to work four-hour shift, then straight home to help Aunt Kolab prepare a quick supper. After it was time to do homework' this shows how hard working and dedicated Rose is to her family.",train,Score: 2
317,17385,7,2,2,"One trait that Rose has is that she understands some things have to be sacrificed for the better of the family.  This appears when she is talking with Anna in the kitchen after they both wake up.  Anna says, 'I'm so lonesome for Papa.  It seems like he's been gone for years,' (para. 8).  Rose's response is, 'He had to go.  The job in Los Angeles paid three times what he was making here,' (para. 9).  This shows that for her age and the amount of responsibility she has, she still understands that the sacrifice for a family is the most important thing of all.",train,Score: 2
319,18395,7,0,0,"One trait I can think of would be unsure of herself. She seems to be unsure if she can help out her family like the others. like she questions whether or not she is capable.She feels as though she would be a let down if she was not able to help out. One detail would be when her aunt ask her ' Do you feel so weighed down by waht you're doing to help this family?', she was unable to answer because she did not want to hurt her aunt.",train,Score: 2
320,18096,7,1,1,"She is  helpful, because in the story it said, ' Do you feel so weighed down by what you're doing to help this family?' Which make it sound like she is a very helpful person.",train,The answer is mostly correct
322,17903,7,1,1,"Rose is hard-working, the story told how she went from school to her job and then home to work some more. She's constantly busy and doesn't complain much, a good trait to acquire.",train,Score: 2
323,17552,7,2,2,"optomistic. then he'll get a good job, anna, and he'll pay for you and me to go to college.",train,Score: 1
324,18520,7,2,2,"When Rose is talking to Anna, she shows that she is selfless. This trait is shown when she says, 'We have to do our part to help Paul finish college. Then he'll get a good job, Anna, and he'll pay for you and me to go to college.' She is unselfish about working for her brother to finish school, even though she is exhasuted.",train,Score: 2
325,17744,7,1,1,"I believe that rose feels tired, but she still wants to help her family. In the story her aunt asked ' Do you feel so weighed down by what you're doing to help this family?' I believe she does feel weighed down, but she is a hard worker and that is her trait I am speaking of.",train,Score: 1.
326,17367,7,0,0,"Rose is not a person who will easily express her feelings. In her conversation with Anna, she sounded like she was perfectly content and not stressed by the fact that she has to help Paul get through college. It takes a strange dream and some probing by Aunt Kolab to get her to reveal her true feelings about the situation.",train,Score: 2
327,17891,7,1,1,Rose tries to be gentle with her sister Anna.,train,Score: 1
328,17513,7,2,2,"Based on her conversastions with Anna and Aunt Kolab, the reader knows that Rose is a very understanding young women.  During her conversastion with Anna, Rose explains that Papa had to go to Los Angelos so that he can support the family.  She understands what he had to give up to go work there, and she knows that he is doing it for the good of the family.  Rose also understands that she needs to keep her job. in order to help support the family.  She understands that even if she does win the essay contest she will not be able to travel to Sacramanteo.  She cannot attend because she is willing to work to keep her job.",train,Score: 2
329,17227,7,0,0,"I think Anna comes off to be this really exciting girl who wants a life but she is too busy taking care of her family that she has no time to stop and think about who she really wants to be.      'From school she'd gone straight to the resturant to work four-hour shift, then straight home to help Aunt Kolab prepare a quick supper, then she would do homework.'",train,The answer does not directly
331,17222,7,0,0,"One thing that describes Rose is that she is over worked and tired.  One detail is that most of her days had been too long, too demanding.  From school she had gone stright to the restaurant to work a four-hour shift, than stright home to help Aunt Kolab prepare a quick supper.",train,Score: 2
332,18505,7,2,2,Rose is caring becuase immediatly after Anna walks in she asked Anna if she was was feeling okay.,train,Score: 2
333,18225,7,0,0,"She is not rude. When she told her dream, she was not rude about it. She was more respectful.",train,Score: 1
334,18470,7,1,2,I think that Rose is mature. I think this because in the story she tries to help her sister with how she is feeling. Rose tries to help Anna out with the leaving of their father.,train,Score: 2
335,17123,7,1,1,"Rose seems to be a strong person that can take care of her family. Even though she isn't the mother, she is taking care of her and other's responsibilities. When Rose fake laughed to help comfort her sister, it showed that she actually cares and she is a mother-like figure to Anna.",train,Score: 2
336,18119,7,0,0,The essay she has to write is complicated for her to do. 'I fell asleep working on my essay',train,Score: 1
337,18421,7,1,1,Rose cares because in thestory of crossing over she trys to help with the money. but the three thounds-word essay was messing with her.,train,The answer has some issues
338,18175,7,0,0,Rose is a good listener and can make good judgement calls.,train,Score: 1
339,18103,7,0,0,"Rose can't see how her family is trying to help her, with giving her inside clues that she doesnt see or get, until the end with her aunt.",train,Score: 1.
340,18423,7,2,2,"One trait is caring. It can be seen when Rose was asks her sister, Anna Whats wrong. This shows she cares about whats upsetting her sister.",train,Score: 1.
342,17716,7,0,0,One trrait that Rose has is she's self-centered.  She's self-centered because in a conversation with Anna she hinted her that money is every and in a conversation with Aunt Kolab she wanted her to go to work to make more money.,train,Score: 1.
343,18162,7,2,2,When Rose is speaking with Anna Rose says that they must help out sence there brother is trying to get through collage so he can pay for them to go to collage.,train,Score: 1
344,18207,7,0,0,"Roes thinks that she's the only one trying to do good for the family, when she speaks with Anna, She has a tone about her that explains how she thinks she knows everything. But she also felt to young for all the responsibility that paul put on her, that's why she couldn't tell her aunt about her dream.",train,The answer provides a trait
345,17136,7,2,2,She is caring. She asks her sister whats wrong when she walks in rubbing her eyes.,train,Score: 2
346,17489,7,0,0,"Fatigued, at the beginning of the story she has a hard time staying awake because her daily schedule is so demanding.",train,Score: 2
347,18407,7,0,0,"In both conversations they talk about being flustrated and weighed down with stress. Rosa feels she almost can't go on because of the fact her fathers gone and she's left to work. Rosa feels,' that she is too young for so much responsibility.'",train,Score: 2
348,18733,7,2,2,"Rose cares very deeply about others. She tries to comfort others and would do anything for them. In her conversation with Anna, Rose sees that her younger sister is upset. Rose tries to comfort Anna and tells her that even though things are tough now, they will get better.",train,Score: 2
349,17811,7,2,2,"Rose is understanding about everything. 'We have our part to do to help Paul finsh college. Then he'll get a good job, Anna, and he'll pay for you and me to go to college.'",train,Score: 2
350,17492,7,0,0,She does not want to write her three thousand word paper.  She has two conversations with people but yet she doesn't work on her paper.,train,Score: 1
352,17826,7,2,2,She is really caring and sincere. When talking to her aunt she tried to hold in her feelings about her responsibility in the family so she wouldnt offend her aunt or hurt her feelings.,train,Score: 2
353,18443,7,0,0,"She is very self-sufficient. While conversing with Aunt Kolab, she was very weary about letting her true feeling show. Aunt Kolab thought up the meaning of Rose's dream and asked if Rose felt that way. Of course Rose, not wanting any help or pity, avoided expressing her true emotions.",train,Score: 1.
354,17651,7,2,2,"Rose asks her younger sister, Anna, what's wrong and if she is feeling okay. This shows that Rose is a loving person and respects others. She loves her sister very much and you can see that by what questions she asked Anna.",train,Score: 2
356,17226,7,2,2,"Rose is considerate of other peoples feelings.'Rose didn't answer. If she told the truth, she would hurt her aunt.",train,Score: 2
358,17783,7,2,2,"A trait I can identify from Rose's conversations is that she cares about people in her famil.  For example in paragraph nineteen it say's Rose didn't answer.  If she told the truth, she would hurt her aunt.",train,Score: 1.
363,17308,7,1,1,"She understands the importance of finacial need. When she stated that her dad moved away to another job that paid three times what he was making before, reveals that she has some intelligance in money.",train,Score: 1.
364,17592,7,1,1,she is supportive.'Hmm. Maybe we can find a way to do things differently. A way better for you.' Her aunt's face lit up. 'Maybe I can sew for ladies. Or I could make special treats from our country and sell them.',train,The answer provided does not
365,18154,7,1,1,"In this story, Rose is a hard worker.  She does everything she can to juggle her life and to try to keep it in order.  Rose was trying to write an essay, take care of her sister, and go to the restaurant and work all at the same time.  She is the type to never give up, to keep doin all that she can to keep her life in check.  Rose was given so much responsibility and it is weighing down on her, but she keeps striving to make things right.",train,Score: 2
366,18709,7,0,0,"One trait that describes Rose would be stressed. In the story she has to work at a resturant, help her aunt with supper, and do homework. The story also tells me that she would have to 'squeeze' in writing a paper. Telling me that she is pushed for time. Showing that she is stressed.",train,Score: 2
367,17449,7,1,1,"Rose, to me, seems like a very understanding person. She listens to her sister when she is resentfull about there father and mother, and tries to explain it so that she can better understand the situation herself. Rose also shows that she is understanding when her aunt comes to her with more ideas on ways to help out there older brother Paul.",train,Score: 2
368,18655,7,1,1,"Rose is exhausted and hard working, but also quit. Aunt Kolab asked her if she felt weighted down, even though she does, she didn't admit that she did.",train,The answer provides a trait
369,18751,7,1,1,"I think that Rose stands her grounds. She is very real about what she says and I think she really means it. She also has her own opinion on things, but she is very caring and I think she really loves her sister.",train,The answer provides a trait
370,17844,7,2,2,"Rosa seems to be a hard-working young woman. Despite how weighed down she felt, she was willing to do whatever she could to support her family. She even got a job and went to school and was struggling to write a very long essay. She said to Anna that they had their part to do to help their brother finish college.",train,Score: 2
372,17967,7,2,2,She tries to be the mother of the family for her sister Anna. 'Its only been four months.' Rose said as gently as she could. 'He had to go. The job in Los Angeles paid three times what he was making here.',train,Score: 2
373,17900,7,2,2,One trait that Rose is hopeful. She tell Anna that their brother will get a job after college to pay for their college education.,train,Score: 1.
374,18315,7,1,1,Rose is sincere in what she does and she seems willing to help out in whatever situation.,train,Score: 1
376,17743,7,1,1,"'Rose didn't answer. If she told the truth, she would hurt her aunt. And probably her aunt would tell her mother.'      This statement shows that Rose feels like she is under a lot of pressure but doesn't want to say anything because she will feel guilty for not helping. Aunt Kolab realizes this and tried to help by saying that things were done differently where they grew up in comparison to Rose. This helps Rose a lot because now she knows that someone is there to help because Rose is too young to have to be worrying about helping get money and should be worried about school.",train,The answer provided does not
377,17890,7,0,0,"She thought she would she could get a trip to Sacramento to receive a prize, and she had already missed a lot of shifts, and her supervisor was on the verge of firing her.",train,The answer provided does not
378,17871,7,0,0,"If she told the truth, she would hurt her aunt.",train,Score: 1
379,17838,7,0,0,THhey all have regrets in life about one important thing.,train,The answer provided does not
380,17096,7,1,1,She doesnt want to make her family feel bad and have to struggle for anybody who was left or is not there.,train,The answer does not directly
381,18381,7,1,1,Rose sounds very responsible. She has a lot of responsibilities and she is still concerned about school work and other important things in her life.,train,Score: 1.
382,17042,7,1,1,"one trait that i would say anna has is worried. she always seems like she has no time. like when she is so busy, that she has not enough time to write the essay. If she does have enough time, however, she wont be able to get to sacramento. she is also worried, because she holds the fate of her brother in her hands. and worried for him, becasue he holds the fate of Anna and Rose in his hands.",train,The answer provided does not
383,17574,7,0,0,'I fell asleep working on my essay' rose means that she is a very very busy girl and don't have time for other stuff.,train,Score: 1
384,17122,7,1,1,From this story I think the best trait to describe Rose is that she's unselfish.  You can see why Rose is unselfish when she talks about how even if she won the essay competition she couldn't go get her prize from Sacramento because she wouldn't be able to take off of her work which helps support her family.  This part of the passage helps you see that Rose puts her family before herself.,train,Score: 2
386,18045,7,0,0,Anna is stuggling hoping her life would get easer,train,The answer provided does not
387,18309,7,0,0,"Rose is optimistic. At the end of the story it says 'Suddenly, it occured to her: here was the topic for her essay, although it was still vague.' She never gave up on the essay even though she had stress in her life.",train,Score: 2
388,18667,7,1,1,"She is hardworking, because she balances schoolwork and works a 4-hour shift at her job.",train,Score: 2
389,17102,7,2,2,"Many of Rose's traits are displayed throughout the story. One trait that is shown is how she is caring. In the text Rose is worried about hurting her mother or her aunt. Rose feels as if she is being overwhelmed with everything she has to do. This in turn causes her to have a dream of being trapped in the water by her older brother. As she attempts to get out, water fills her mouth and she sinks further down. She decides to tell her aunt of this dream. Her aunt then begins to question her about if she feels weighted down. Rose ignores the question because she doesn't want to hurt her family.",train,The answer provides a clear
390,17725,7,2,2,"One trait is that Rose is a caring person, that loves and respects her aunt. During her conversation with Aunt Kolab, Rose did not expose her dream to her aunt because she did not want to hurt her's or her mother's feelings.",train,Score: 2
392,17649,7,0,0,QUIET AND HARD HEADED,train,The answer provided does not
394,18006,7,2,2,"One treat that can describe Rose would be positivety.  During her conversation with Anna, Rose told her that they have their part to do to help Paul finish college, then he'll get a good job and that he'll pay for Anna and her to go to college.  Even during hard times Rose still told Anna that eventually things would work out and they would get to go to college as well as Paul.",train,Score: 2
395,18401,7,0,0,"Lonely, 'Mama's not home yet, is she. I hate how late she has to work.'",train,Score: 2
397,18133,7,2,2,"Even though Rose has a lot going on in her life, she still takes the time to be caring for her sister. When Anna has a bad dream, Rose says, ''What's wrong? You feel okay?'' When Anna is feeling down, Rose tries to lighten the situation by saying, ''It's only been four months.'' This clearly shows that Rose is caring.",train,Score: 2
398,16983,7,0,0,Rose and Anna both want their mom and dad to stop working so late at night and Rose thinks that Anna should try and find out if she could get some time off work to do her work from school.,train,The answer does not fully
399,18284,7,0,0,"That she doesnt miss her father as much as Anna does, because she said, ' its only been four months' like its not a big deal that he isn't home.",train,Score: 2
400,17448,7,0,0,Rose doesnt like to say her true feelingsParagraph 21 line 1 and paragraph 23 line 1 it says she just keeps on nodding.,train,Score: 1
401,18255,7,2,2,"Rose is very compassionate and is always mindful of others. This is shown in her conversation with both her sister Anna and Aunt Kolab. When she talks with anna, Rose tries to make Anna feel better about the fact that their father can't be with them. When she talks with Aunt Kolab, Rose avoids telling her how she really feels, in the interest of keeping from hurting members of her family.",train,Score: 2
402,17792,7,1,1,"One trait to describe Rose is that she is caring. On top of her three-thousand word essay she has to finish, she still makes time for her sister. She gives her sister some supporting words. Also, she is worried about her brother and parents.",train,Score: 2
403,17193,7,0,0,When Rose talks about her father and his job in Los Angeles; He's paid more their than at home. She want's to get into college and she thinks money will do the trick. They both believe money will support their lives.,train,The answer provided does not
404,18553,7,0,0,Rose is a person thet tries to keep her family together through rough times.,train,Score: 1
406,17393,7,2,2,I would say Rose is an understanding person. In the story you can tell she just wants the best for her family. She is understanding of why her father has to live in L.A. and why her mother has to work so late. She is trying to win a prize for an essay but realizes she might not be able to travel to get. She is a determined bright young girl who is very understanding.,train,The answer provides a clear
407,18044,7,1,1,She seems very confident that something may happen. When she was having a conversation with her sister in the kitchen she looked at the positive of their father working is Los Angeles.,train,Score: 1
408,17125,7,2,2,"Rose is compassionate. Rose asks how Anna feels, she would not ask this unless she cares about her. The reason she cares about her is that Anna is Rose's sister",train,Score: 2
409,17728,7,0,0,"She is very wise like in the conversation with Anna as she said that they needed to get their parts so thier brother, Paul, can pay for their colleges.",train,Score: 2
412,17244,7,2,2,"She feels its her responsibility to help support Paul and the family, so that later in return he can finance both Rose and Annas college educations.",train,Score: 2
413,18322,7,2,2,"Rose is very understanding of other people.  When she is talking to Anna, Anna is complaining about her dad being gone all the time, but Rose knows that he is doing that to help out her family so that Rose and Anna can got to college some day.  She is also very appreciative in this example.",train,Score: 2
414,17854,7,1,0,"She isn't self centered. She realizes how other people sees her situation.'But now I realize that you're seeing the situation through other eyes-as you should, I suppose, because you grew up here.... This must be difficult for you. Yes?'Rose nodded.",train,The answer demonstrates a clear
415,17506,7,2,2,"Rose is a positive person. She thinks the best of each situation, and hopes and dreams that things will get better. In the story, Rose told Anna that Paul would pay for her and Anna's schooling once he got a good job and earned a lot of money.",train,Score: 2
416,18739,7,0,0,Rose thought she is to young to have all the responsability that she has to take care of. and is streed by it all and she still has to wright aflawless three-thousand-wors essay,train,Score: 1.
418,18177,7,1,1,"Rose is vey independent, she knows what she has to do in order to have the life that she wants, and she will do whatever it takes. When Anna tells her that money isn't everythings, Rosa replies, ' Only if you already have everything. We have our part to do to help Paul finish college.'",train,Score: 2
419,17089,7,1,1,A trait that i see in Rose is that she is very caring. She is concerned for Anna when she walks up in tears and she asks her whats wrong. The whole time in there conversationg she tries to calm her down like when she tried to laugh to relax the tension between them.,train,Score: 2
420,18385,7,0,0,There is one trait that can be picked up from the two conversations in the story. Rose wants to help her Mom and her Aunt but she has alot on her mind. For instance when she was talking about writting the essay and she said'when woud she have time to write a flawless three thousand word essay.',train,Score: 1.
421,17819,7,0,0,Rose is very lonely and she feels very sad. Like when she had a convorsation with her aunt she wanted to try something new to make her happier.,train,Score: 1.
