,essay_id,essay_set,essay,domain1_score,domain2_score,split,llm
246,3774,2,"I disagree that certain material, books,movies, or magazines should be removed that are offensive to some from the shelves of libraries. There are three reasons why I argue this topic. One reason is that books, music, etc. that are inappropiate should not be in a section that a child would go and look for a book. A second reason is that for a child to check-out a book and the book is inappropiate, they should have identification to show that they are of age. The third reason I think that things like that should stay on shelves is because adults have books, movies, music,etc. for them for many reasons.     Ther should be nothing inappropiate in a library that a child can get a hold of. A child should only have things appropiate that they can grab so parents do not have to be worried about the things they child hear, see, or read. There are some libraries that will let a child get a magazine or book, and let the child check the book or magazine out. This is where th problem begin.     All libraries should identitify each child when they check-out a book, magazine, or music. that why movies are rated, so that a parent could what kind of movie their going to be watching. A parent should keep a close eye on what their child read or see.     I think that things inappropiate should stay on shelves, but I also think it shoud stay in the adult section of the library. Childeren should not be able to go in the section for the adults. The inappropiate things on the shelves could be useful for the adults in some cases. There are some material that a  adult @MONTH1 need to help in life.     In conclusion, childeren should not be able to get a hold of  inappropiate material in a library, all libraries should identify someone the inappropiate material,and adults should be able to have this type of material on shelves in libraries",3,3.0,train,Here’s the breakdown of
247,3260,2,"'@CAPS1, @CAPS1, @CAPS1 I like @CAPS4 @CAPS5 and I can not lie, when a girl walks in with an itty bitty waste and a round thing in your face you get sprung.' @CAPS2 song in itself depicts a rather provocative tone towards women and men. While '@CAPS3 a'las what sorrows can be seen over yonder' tells us that love can be found anywhere. Now look closly at both lymrics you will eventually see a connection in both. The rap song @CAPS4 @CAPS5 is about a man that finds love in large glutius maximi while the other says that love can be seen everywhere, and anywhere.     To say that music, magazines, books, and more should be banned is to say that throwing an @CAPS6 flag on the floor is just okay. Well its not; banning books, music, etc. is just like cencoring someones imaginationa and creativity. It is just like the book @DATE1, where @CAPS4 @CAPS8 is watching, and that we are only based on what we are allowed to read, and even think. Taking away movies and books, is to not allow people to learn from their past.     Take @CAPS9 @CAPS10 @CAPS11 for example, though that movie is rather gory and morbid, it still tells us of the horrors of the time during @CAPS12 @CAPS13 @NUM1 and that the past is never something that should be let go. Always remeber the past so you can learn from it. Had that movie been cencored or removed I personally would have never learned about the hardtimes of the @CAPS13 and what it can do to a persons soul and emotions.     A book, magazine, movie, etc are all gateways to new worlds, where children can use their imagination and justify what their personality is. I can say that books and songs have saved lives. The other day a friend of mine was on the edge of suicide and was almost a squeeze away from pulling the trigger when I told him that what he was doing was wrong. I was @NUM2 at the time, and i rushed through my ipod to find a song '@CAPS14 to @CAPS15 a @CAPS16' by the @CAPS17. I basically read him the lyrics and he eventually put the idea of sucicide away.     While yes, there aresongs & books like The @CAPS18 and the @CAPS19 that @MONTH1 have provoked people to do crazy things, even to kill. We stilll see more good being done and shown through reading and writing. Because they are all ways to express ourselves. A song can @CAPS15 a @CAPS16 as much as it can take one away. Even then we can that letting imagination flow is better than letting the imagination get cencored. If a book is seen as something unwanted or taken away, it will cause more harm in that it would be wanted more, it would be craved becasue it is an unreachable thing",4,4.0,train,Score: 2
248,3517,2,"Do you think there are certain books and magazines that should not be displayed in librarys? Well here's my perspective.      I think that librarys shouldn't have certain books due to racism, violence, and etc. One, because there are young children that read books throughout the library, and two because books and magazines due to racism and ect. can be offensive to others.      How would you feel about your children reading about stuff like that? That's something a child doesn't need to know at an early age. So that's my perspective on it",2,4.0,train,Here’s the breakdown of
251,4583,2,"Nobody should believe that we have the choice to take books off the shelves of a library. America is a free country and we can write whatever we want. Everyone has freedom of speach, your just taking that admendment and putting it into music, books, or a movie. When you are looking for a book and you find one that seems offensive just put it back on the shelf and move on.     Everyone have seen a lot of things that are offensive to races and beliefs. You hear jokes that are offensive but that is all that it is a joke and it is not to be taken seriously. I have read a book recently called '@CAPS1's your @CAPS2' it was not what I thought it would be, so I just put it down and picked up a different book and kept on reading. If everybody were able to take books out of a library just because it was offensive would we have any books at all? Movies have a protection against this called ratings. The ratings are from '@CAPS3 to @CAPS4.' If the movie you watch is more towards the @CAPS4 section then it will have more offensive language and violent scenes. That is why there is always a blocked off section at a dvd rental store. That section is only for mature people of the ages @NUM1 or older. If by any chance your kid strays in there and finds somthing not suited for him and you really get fired up just think @CAPS1 let him wonder into that section. @CAPS1 should be watching him at all times, @CAPS1 is responsible for him?      I do not agree that reading material or anything in that matter should be taken off of a shelf. Thats like saying if someone did not like how the @CAPS5 of @CAPS6 was worded they could just take it down and throw it away. We would have nothing to read. So the next time you see something that is offensive just put it back and move on",3,3.0,train,Here’s the breakdown of
253,3469,2,"Censorship in school libraries is important, but at the same time it is not necessary. I believe that many books in the school library are not apropriate for younger children, but these same books should not be taken out of our libraries becuase I feel like high schoolers are mature enough to be reading this material. The material in this books are no differnt than what goes on in the high school years.      Most of these books give a prospective on real life stories and @MONTH1 be able to help someone cope and realize that they are not alone. At the same time though many of these books do contain curse words, some sexual scenes, partying, drinking, and doing drugs. These books are too old for a elementary school age child and maybe even a middle school age child to be reading. For example the books by @PERSON1, these books are about a girl who becomes addicted to drugs, pregant, in jail, and homeless. I read these books, they are really good books, and they showed me how by just trying one drug, one time, could ruin your whole life. I learned a lot from these books, but I don't think that anyone younger than fourteen should be reading them.       There should be a limit on the censorship. Many things talked about in the books, are the same things talked about in the school hallways, what is the difference? That is why authors write about the things they do, so they can conect with teenagers. Many books are an authors experience, so they are meant for high school age. Many authors will put an age level on their books, like fourteen and older. Librabries should pay attention to these ratings before putting the books in the libraries.      Someone @MONTH1 become offened by what they read in a book, but I don't think that book should be taken off the shelf becuase of one person. If it becomes a bigger issue, than yes it should be taken off, but at the same time, that one book @MONTH1 be someone else's way from escaping the hardships in their life.     Many adults would disagree with my statements becuase they feel like if a teenager is reading about someone drinking, do drugs, or having sex, then they are more likely to do those things. I feel like this is not true becuase the book I am reading now, they are partying and drinking, but I'm not out doing that. What is the differnce between someone reading it in a book and seeing it on television? I see many worse things on the @LOCATION1 than I read in books. Parents should be happy that their teenager is reading and not playing video games or out with friends.     These are just my oppinons, some people @MONTH1 agree with me and others @MONTH1 disagree, but I am going to stick with my oppinons",4,4.0,train,Here’s the breakdown of
255,3317,2,"Have you ever got or check out a book or something that has been racial to you or you think it should have been censored? I haven't but I checked out a book before that had a lot of racism in it and sex. Im not racist but some people are very racist. Some of the book in libraries aren't sutible for some viewers but yet again the can check it out, some books, movies, magazings, and others should be taking in consideration on being removed so some viewers can't read them.     In libraries there are book that have alot of racism in them. Some racism gets to be very bad in the book and it could intrest and provoke the young viewer to go down that road in a later life. Which could be very bad if you think about it. He could talk his friends into becoming what he is. talk them into becoming racist towards others. No mother or father wants their kids to be racist, but there are familys that are racist. Which i don't get because we are all the same to me.      In some books in the library there is sex talk that accores in it. Sometimes the sex talk gets into great detail which isn't sutible for young viewers, because they could get the idea that they want to try that with someone of a different genger. Which is okay if ur older but if ur really young and reading a book with sex talk in it. Well that's wrong because young kids shouldn't be introduced to that kind of life stile till later in life. Some parents wouldn't like their kids to read that kind of book. I know I won't let me kid read a book like that.      Music is something that everyone listens to, no matter is its rap, country, or the blues. Certain people like certain kind of music. Some people think that rap music is offensive and should be removed off the shelves. Well rap music is based on their past and how their life is. It does have some racism in it like certian rappers say bad words that aren't really sutible for young viewers.      Although some of the racism and cencorship that should be cencored are on shelves, I think it should be in a separete room so only older people can check it out or buy it, instead of the young kids getting a hold of it. I believe that books should have racism in it because it shows how much we have changed from the past",3,2.0,train,Here’s the breakdown of
256,4072,2,"Censorship in today's libraries is a major issue. There are groups who both support and challenge these ideas of censoring books and other media from our children. Do you think it is right for someone else to decide what we can or can't read? Personally, I believe that we should be able to make our own choices when deciding if a book or movie is too indescent to read or not.     We as human beings have the ability to make our own decisions. Everyday we are faced with hundreds of decisions; whether it be what outfit we are going to wear for the day, or what type of food we want to eat. In that sense, nobody can tell us that we can't do these things so why should they be allowed to tell us what we can or can't read? What @MONTH1 look vulgar to someone, might not look so offensive to another individual. Everybody has a different taste in media. That is why it is wrong for someone to make decisions on what to watch or read for someone else. What they think is wrong @MONTH1 be completely normal to the individual they are making the decison for.     Censoring of media for kids should be the responsibility of the parents. If a parent does not want their child to be exposed to a certain element of media then that parent should not allow their child to see or read it. Everybody has their own opinion on things, that is what makes us human individuals. The ability to make and process decisons is one of the human races greatest talents. These descisions should never be left up to someone sitting in an office in @LOCATION1. When the government is making decisions that effect us that personally, do we still truly have freedom?       When censorship of television comes into question I believe that this is the reason we have ratings. Theses ratings warn people of the content included, whether graphic or not. With these in place, there is no reason why we should completely remove shows or movies from the public. I believe that the same should be done for books. Books should be required to have an age appropriate rating on them. If you are under the age required to purchase or check-out a book, then you will be rejected and not able to get the book. Ratings worked with television and movies, so why can they not work for books to?      In some cases, some media should be destroyed and hidden from public. Media that show racism towards any ethnicity or religion should be banned. By doing so, I believe the only effects this will have on society are positive ones. Censoring these types or movies, books, ect. can save a lot of people hurt or embarrassment.      I believe that we should be allowed to choose which books, shows, or movies we read or watch. This includes all forms of media, excluding any media that provoke racism and hate against a group of people. The decisions we make should be influenced by a rating system put in place for all media. We as humans have the birth given right of making our own decisions. This right should never be taken away from us",4,4.0,train,Here’s the breakdown of
257,4439,2,"Although possibly offending some people, materials that are in libraries that could possibly be considered 'offensive' are actually good to keep around. If people who find the materials in libraries offensive are getting upset over the lack of censorship within the library itsself, they should re-think the situation and consider that the 'offensive' materials that are left within libraries could be considered appropriate IF the viewer is ready to experience them. If a person does not want to be exposed to things in libraries that could be considered offensive, then they can altogether avoid these materials. If parents find the materials that are within libraries offensive, they should monitor their children while they are visiting their library. The mateirals that could be considered offensive @MONTH1 actually be good, educational media that a person could learn from. If @CAPS1 within libraries increases, 'then we have no books left on the shelf for any of us.' @CAPS1 in libraries should remain the same as it is now.      Some books, movies, and any other number of things that can be found within libraries are bieng labeled as innapropriate. These materials can be educational, however, and should not be removed from libraries altogether just because some of the materials are found to be too crude, vulgar, or adult-like for younger ages. Parents should monitor their children while in a library as to not let them stumble upon something that they would not want them to see yet. If something is labeled as innappropriate for children to view by parents, then it is the parents responsibility to make sure thier child does not stumble upon it.      Much of what @MONTH1 be considered as innapropriate and needing cencoroship in libraries to this day @MONTH1 actually hold some educational value or meaning to it. There are books and movies that are based off of true stories that have taken place that could be announced by parents as 'not appropriate to be viewed by children'. However, this does not mean that libraries should have to remove the material from their shelves just because parents @MONTH1 not think or necessarily agree that it would be appropriate for their child to read or see. It is the parents resposibility to see that their child does not check out what they would consider innappropriate. Much of the things within libraries that might be considered innappropriate for children hold good eduactional value and should not have to be removed from the shelves of the library simply because parents find it not age appropriate for their children.      @CAPS1 in libraries should remain the same as it is now so that those who want to see or read the stories or movies can do so without having to buy them. If parents want to make a big deal out of how libraries hold materials that are not appropriate for their children, they can either altogether not go to a library or they can monitor their children closely if they bring them along on a library visit. I have found that when I visit my library, I look at it as a source of knowledge that has been pooled in one place, written and created by thousands of authors, all of which took time out of their own lives to create it. If we are going to remove these books or movies from libraries, I think it would be taking away the rights that people have to the materials that SHOULD be provided by a library. @CAPS1 in libraries should remain the same as it is today so that people can enjoy all that should be within it, even if some of it is labeled as innappropriate by parents",4,4.0,train,Here’s the breakdown of
258,3636,2,"I believe that if there is a book in a library that a child is not allowed to read that the book should be some where the kid shouldnt be able to get it. I think those types of books should be stored in the part of the library were a child shouldn't have access to. Also the library should have a section to where only the certain age can read that book. In some libraires there are a bunch of books that are not made for a child to read and they have them to where a child can get access to them and that shouldnt be allowed. So i believe that they shouldn't allow children to get access to those types of books.     The same thing applies in a store. In some stores they have a magazine section where there are bad stuff that a kid is not allowed to see. I know in the grocery store that i go to there are inaproperiate images and words that a child should see or read. So there should be an area inside that store that a certain age can access them because one day i was in the store and i saw a little kid reading a magazine and saying the bad words that were in it and looking at the bad pictures it also had in it. So that is the reason they should put the magazines in a place were children shouldn't get access to them.     In the same store there is a music section and there are children in it all the time. The music is not all that bad its just that the kids can take these off the shelves and take it home and listen to it. This is the part that is the parents fault by buying the @CAPS1 for the child to listen to. So if the parent buys the child that @CAPS1 that is bad it is the parents fault. But i think that the @CAPS1's for little children should be in one part of the store and the @CAPS1's for the older people should be where the can get access to it.     This same thing applies with movies. There are movies in stores that are rated from @CAPS5, @LOCATION1, @LOCATION1@NUM1, @CAPS6, and even for @CAPS7 audiences only. In a bunch of the movies form @LOCATION1@NUM1 abd up have a bunch of stuff in them that a child should not see. Like in the @CAPS7 audiences only movies they show nudity and a lot more stuff that no one under @NUM3 shouldnt see but they have some of those just sitting on the shelves at stores. So children shouldn't be able to have access to those types of movies.     The reason i explained all of this is so children dont get ahold of them. Like in the music if the kids start listening to some bad music they will start saying those bad words and get in trouble at school and anywere else. Even if the chid reads a book that has bad stuff in it they will start saying those words or even do the stuff that happens in the book. In the movies that a child is not suppost to see like a gory action movie or a movie that shows nudity or even a movie that cuses that child will see that movie and will show there friends or get ideas form the movie. And these are the reasons why a child shouldn't be allowed to get access to this kind of stuff.",4,4.0,train,Here’s the breakdown of
261,4399,2,"There are certain books that no child should ever read but in some libraries they don't care whats on there shelf. They don't care if a little kid starts reading a book full of cusswords and other profanity. As long as hes reading thats all that matters to them. Even though in libraries there are kid sections that doesn't mean he can't walk over and grab an @CAPS1 book or what ever he can get his hands on.     When I was little I was always in the library and it was never hard to get a book with bad language. We even thought it was funny when ever the book had cursewords in it cause we would just repeat. I remember in school even books the teacher would read to us had cursewords and we would all laugh at it, even the teacher thought it was funny. But if we ever repeated that word while not reading it we would get sent down to the office. Even though we thought it was ok to say just because we read it out of a book.     I do agree that books with bad language should never be on the shelf to where a kid can grab it. I think its fine to have cursewords in books when there in junior high but elementary school is to early. Those books are meant for adults only cause some books sound better with cursewords in them. My parents thought it was wrong when I would bring home a book from the library and it would be full of cursewords or slang. But they would never say anything to the library cause they know that I will be hearing these words all the time when I get older. Those are all the reasons why I think books with curse words should not be handed out to little kids.",3,3.0,train,Score: 3
262,4288,2,"Hi, my name is @CAPS1 and I am writing this article today to talk about things that shouldn't be in the library. There are many, many things that shouldn't be exposed to children such as, sexcism,racism,rarted @CAPS3, pornography. So i am here today to tell you all about them things.      First off books that have racist comments in them should not be exposed to our young children.Why? Because that is setting a bad example for them so they might think they can say and do the things thats the book does. Another thing is sex in books. I know you have read stories that talks about sex and how to do it and all sorts of things. So to sum this up they shouldn't be allowed in public libraries.     The second thing that shouldn't be allowed in public libraries is @CAPS2-@CAPS3 movies. Things such as horror movies, porn, and many more. So young children should not be exposed to these such things because it damages there mind at a young age. It teaches them things that they shouldn't know about until they get a little bit older.      The last reason why I feel that many things shouldn't be in the libraries are for the @CAPS4 magazines. Those magazines just show everything they have all type of naked photos in them. These really do not need to be exposed to our young children because. Our little girls will think it is ok for them to take naked photos of themselves and post it in books and on the internet.      So all in all, all of these things should be banded from the libraries for many different reasons. So the @LOCATION1 should think about what I am saying. Just think if it were your children being exposed to innappropiate things",3,3.0,train,Score: 2
263,4536,2,"To @CAPS1 @CAPS2 @MONTH1 @CAPS3:          Censorship, does @CAPS2 deserve a place in our society?      There has been much contreversy over this topic. Some claim that certain kinds of literature and music contain offensive lyrics or writings, while others, over the same topic, believe the complete opposite. They believe that the words of the artists and authors shows feelings and have messages hidden within words of vulgarity, which is where i stand on the situation.     @CAPS2 seems as though everytime we cross over this bridge, @CAPS2 comes right back in front of us. Many of those opposed to the freedom of writing and music are usually the ones that feel as if they must preform proper edicate and have everyone act nothing less of the same, unfortunately for many, the people that are like this, usually, have much power in the say of what comes and what goes, not allowing many of us lower graded people in society to get a chance to veto their poor outlook on things.      My opinions bring me to believe that there are two sides to this story too. However, I still believe that much of what is considered 'censored' material should not be censored at all. There is one, count that, one situation where I feel censorship is necessary. One is songs that go on for @NUM1 and a half minutes saying nothing but '*bleep* this, and *bleep that'.      All other material, whether @CAPS2 be @CAPS4 rapping or @PERSON1 writing, is acceptable. There's just many people in the world who need to grow up and listen to the lyrics/words, to get the full message before automatically assuming that there is a problem with @CAPS2. Great @CAPS5, @ORGANIZATION1, he always has a message in his music, whether @CAPS2 be about family or just life in general, however many words he uses are considered unfit for our time, so you just hear '*bleep*' when @CAPS2 is on the radio. By just that '*bleep*', you can lose the message thats coming across.      Also, ever hear the phrase, 'equal rights'? Well, shouldn't music and literature be a right? @CAPS2's just like talking but with either pages or instruments. And that's how I will leave you on this debateable topic. I hope I might have changed some opinions of you today, if not then your loss. Thank you for your time.                                                                                                     A @CAPS6 to the @CAPS7,                                                     @LOCATION1",3,3.0,train,Score: 3
265,4686,2,"What do you want your children to be able to see in their public library? As we all know, there are things like books, picture, and movies that we do not want our younger generation to see. This is @CAPS1 parents are so carful with computers, and what their children have access to.      Every situation has it's pros and cons, but in @CAPS2 cases if you analize the pros and cons you can come to an accurate conclusion. When you go to a library with your children, the children run off to do what they want, usually to the children's section. Let's face it, children do not want to look at adult book. Once children learn to read you might come across a bigger problem. As children get older they want to be able to do more things, like watching older movies, reading harder books, and look at want they want on the computer.      I'm sure that the first thing that might come to mind is to censor the library, take away the horror films, the banned books excetra. This might be fine at first, but what about the adults that have every right to read and watch whatever they want. The library is free, does this mean that if our society does not like a book, movie, or magazine taht the adults must go somewhere else to pay for a particular book or movie as apposed to borrowing if for free at the public library. It could work, but if a child is going to look at bad things at a library what will stop him/her from looking at them at a bookstore?           Another issue is banned books. @CAPS2 of them are classics that past generations have read in school. @CAPS1 would we decide to take these books away now? It makes it seem like the younger generations can not handle it, or that past generations have something to hide. The definition of a classic is a piece of writing that has stood the test of time. Does it just end here and now? @CAPS1 would we take the classics away? Let's face it, if the classics are not read in school today, and they are not read in the next generations what is stopping them from being forgetten? Some banned books parents will look at and say, '@CAPS1 would this be banned? I do not remember anything bad in it.' @CAPS2 of the time the classic banned books were written some time in the @DATE1, @CAPS3 @CAPS4 @CAPS5 or the @CAPS6 @CAPS7. Society was different then. When you read a classic it acts as a history book to show us how it was to live during the time it was written. Usually the book will be banned because of bad language which people thing should be taken out of our schools, but they are missing the point. That was how things were back then so, who are we to hide it?      Does this mean that I think anything and everything should be put in our public libraries? Not at all. Some magazines can be avoided, or be put in a section away from younger children's eyes. Horror movies do not have to be taken out completly, just put in a different section. If parents are worried about monetering their children on the internet there is nothing stopping them from watching their children while they are using a computer.      I think that there can be come cesorship in libraries, but sometimes our society goes overboard. As long as we keep an open mind and make the right decisions for our future generations we can make our country a safe yet edjucational place to learn",4,4.0,train,Here’s the breakdown of
266,3137,2,"Some books in libraries offend others. So should they be removed? That is the point im going to get across today. Keeping people under self-control is top priorities for the public. So why do they keep releasing and publishing books if it offends certain groups?     Graphic and gorey books are books usually that disgust people but should all contain a warning symbol on it for people with weak stomachs and those who just can't handle it. So by that means, I'm fine with it. People need to accept that the world is not all sunshine and rainbows and that gruesome stuff is out there. This is my take on the whole situation. So people, if you can't take the heat, stay out of the kitchen.     However offense material to races, religions, and other personal aquisitions, is something of different concerns. This can certainly inflame groups, and even start protest or boycotting it. Authors in some cases need to review their materialand make sure it won't cause any disruption. Inflaming the public is not what you want young authors. This can not only make the public upset, but can possibly lead to the author getting fired.      False statement or inaccurate statements in books can lead to public curiosity and even conspiracy. Not only will it cause a stir up in the press, but just like the race/religion thing, it can cause the author to be fired.  This is not what the author wants. So making sure the work is true and not hipotheticle is a good step. These are great steps to achieving a positive step to public influence.     So inconclusion, authors have lots on their hands. All the way from race issues, religion, fale statements, and so on. These are some of the things authors want to avoid. Making the public recommend the book, and it having positive outcome on the press is the best an author can ask for",3,3.0,train,Here’s the breakdown of
268,4095,2,"Reading is very important for kids these days. Libraries should have the right to have any kind of text, movie, magazine, or genre of music that is desired for a student to learn from. There are not any kind of books that could be deemed offensive in any way to people these days. There are exceptions to this however like any book written to specifically target a race, religion, or gender. Such as books written by raving racist fanatics like members of the @ORGANIZATION2 or @CAPS1-@CAPS2's.      Being a high school student and having a nice library in my school I have learned a lot from the books in my library. I have never in my @CAPS6 years of @CAPS4 seen a book or heard of someone who saw a book that offended them. I can assure you that there is not one book in the @CAPS7 that would offend me personally, this is not to say though that there are books out there that will offend certain people.     Reading books is fun to me and I would not want to miss out on a good book because a library is not holding it because there is the off chance that someone somewhere might get offended by that certain book. Reading should not be limitted based on content because there is always someone out there who is looking for that certain book for a good read. I have heard of people who have gotten mad because there was a nude picture in an art book. Seriously? An art book? Art is what it is. Art has had naked people in it for thousands of years. Why should it start to offend people now when it didnt offend people then? People are just weird in this day in age i guess.     There are certain movies that should most definately be removed from the shelves of libraries, such as porn for example. Porn should never, under no cercumstances be held in a library. There are special places for porn such as the internet. Music is a different story however. Music should not be taken out of libraries because there are some people who cannot affort to buy music for places like @LOCATION1, iTunes or @CAPS3. Music has so many genres that its is impossible to make out what should and shouldnt be in the library, and there are so many different types of people that listen to different types of music in the @CAPS7 and it would be wrong to tell that certain group of people that their music is too heavy or too rappy for the library. Listening to the music in the library is a different story however, you should definatly not be allowed to listen to your music in the library or at least not be allowed to have it loud enough for everyone else to hear it.     I dont read magazines but i know enough about them to know that they should and shouldnt be allowed into a library. Magazines like '@CAPS4' and '@ORGANIZATION1' should definatly be allowed into a library because they are the hub of learning from magazines. However there are magazines that should not be allowed into a library like '@CAPS5' and other pornographic magazines as well as ones like '@CAPS6' which are magazines that target young girls to make them think that they should look perfect like the models in the pictures. Those are the types of magazines that make young girls dress skimpy and inapproprietly and make girls turn to throwing up to keep themselves skinny.     There are definatly some things that should be kept out of the libraries but one book, or one movie, or one genre of music, or one kind of magazine should not keep them all out. One problem shouldnt make them all a problem. Libraries are a place where people go to escape, similar to things like @CAPS7 of @CAPS8 and other videogames. People should have the right to go to a labrary with the intent of getting something and they should be able to get what they came for.",4,4.0,train,Score: 3
269,3866,2,"I feel that a library can have any kind of book stating any kind of material. Its a library, a place where people go to get information.      If you dont want your kid, or kids reading, watching, or listening to those kinds of material then you shouldn't have to let them read, listen to or watch any offensive material, untill they are at a certain age and are mature enough about it. It is a library, and they are gonna have a wide variety of books. I dont think any book should be removed just because someone gets offended or its to ghory or has to many curse words for your kid.          Not everyone gets offended by the same things, or the same material. If you do then dont read that book or watch that movie, but that shouldn't mean it has to be taken off the shelf just because one person got offended by it. Libraries are made for the community and the people in it, not just one person. Other people might want to read or watch the material that some people get offended by.      This is what I think on the censorship on the book, movies, music, magazine, etc. Its a library, they are going to have a bunch of material. If you find something offensive, be mature, put it back and find something else to read, watch or listen to",4,3.0,train,Here are some key areas
270,3277,2,"Censorship is a tricky concept. It is a word that can ban music from stores, books from shelves, and movies from theaters. Katherine Paterson, an author, said that if all things reading or listening materials were removed, nothing would be left. I thoroughly agree with that statement. If someone finds one aspect of a work offensive, that does not qualify for the work to be banned or discarded. I believe offensive material should not be removed because of the following reasons: it suppresses the feelings of the author, nothing will be left on the shelves, and there is no defining line on what is or is not offensive.     Now, I understand there is a vast amount of people who are against my position. I assure them that I understand those feelings. Some audiences feel that the removal of offensive material is good because it shields the ears of those who cannot handle the verbage or context. Others @MONTH1 feel that sensitive audiences @MONTH1 not be comfortable with the text. In addtion, many people believe that exposing people to violent, risky, and material with dangerous habits will evoke the same behavior in young children. Though these are all valid opinions, they are not enough to automatically think that it is okay to throw it off the shelves.     Contrary to the opinions of others, I believe one reason @CAPS6 material should be kept on the shelves because if it is not on the shelves, the the thoughts and feelings of the writer will be suppressed. For instance, the book 'To @CAPS1 a @CAPS2' was banned for a long time. Harper @CAPS3's book, @MONTH1 have had some slurs we @MONTH1 find offensive today. However, that is the way people in that time spoke. Who are we to fault the people of the @DATE1 and @DATE2 for how that articulate words? By banning 'To @CAPS1 a @CAPS2' for the time frame that it was banned, generations were robbed of the powerful and beautiful meaning of the entire book. That meaning was that you cannot punish the innocent because they have done nothing wrong. The same for done for @CAPS6 book. @CAPS6 one reason why I believe that should stay on the shelves.     Next, works of literature and music should stay on the shelves because as Katherine Paterson said if everyone removes a book, '...then we have no books left on the shelf for any of us.' @CAPS6 is very true. Many books have been on the banned book list. For instance there is 'To @CAPS1 a @CAPS2,' '@CAPS9 in the @CAPS10,' '@PERSON2,' and the like. What book will be removed from the shelves next? Once society is relieved of all literature, the next step will be music. Look at the singer/songwriter @PERSON3. He made some very sexually themed music. When people bought his records in the @DATE3, they had to be covered or placed in brown papered bags. They @MONTH1 be considered censorship, but that is one step away from being banned. His record company refused to produce his music under his name because of the scandalous lyrics. Because of that, @PERSON3 has changes his name to an unpronouncable symbol. What will be next?     Finally, my last reason for why offensive material should not be removed is because who is to say whether or not something is offensive? A novel or song @MONTH1 be pleasing to @NUM1 people, but should it be extinguished from the record store or library because of one person? I do not think so. There are many words and concepts that have not be socially accepted of the centuries. However, those same appalling concepts have become accepted if not an uncommon habit.  If @CAPS6 'offensive material' is given time, it will become unoffensive in the years to come.     For all the reasons I have stated, I do not agree with removing anything off the shelves because something finds it to unacceptable if not offensive. If everything is removed because of an opinion, the world of the arts will be no more. Then, we as people will wonder what will be left of us. We will be nothing more than a mass of narrow-minded and ignorant individuals who know nothing about books, music, magazines, movies, etc. Now, I pose @CAPS6 question to you: If all was deemed offensive material, what would be left?",5,4.0,train,To evaluate the essay according
271,3981,2,"Remain on the Shelf?     Certain materials such as books, music, magazines and more can often contian offensive information that many would want censored. The people writing the items are not making them so that they are just plain offensive, the way people take in information is the main factor. People choose whether or not to believe certain things for themselves, and with those come their personal opinions. Books and magazines should not be removed from shelves if they are found offensive, this could create more problems with the public and those who disagree on what has been taken out, that dont consider them to be offensive.     What is offensive to one person, @MONTH1 not be offensive to the next. Items being removed because of a complaint made by one person should not even be considered. Whether it be a book, magazine, or music the author had a purpose for it and it was not intended on hurting someone's feelings. For example, a book about slavery could be offensive to a white man, but a black man would consider it to be about his history. People can find many things offensive by just reading titles, or listening to one lyric from as song, but that does not mean they have to read the book or keep listening to the song. Someone else is enjoying the book and the song could be what another person looks forward to everyday.     These magazines and books could also be seen as informing. The material in a certian magazine @MONTH1 not be acceptable by some, but a lot of new information can come from them. If everything found offensive was removed from the shelves there would most likley be nothing left. Removing them could cause choas to someone who is trying to learn more about a disease, when another person who is suffering from it does not want their story told. Certian materials being offensive can only offend so many, and chances are what doesnt offend them offends the next person. Informing articles and books should not be removed from shelves in libraries because they are there just to provide a source of knowledge.     Censoring in libraries would also take away from those who are just interested. A lot of people like to read and rent movies just for fun, but chances are if the book or movie does not sound interesting, it is not going to make any profit. What is considered offensive to a person could be the interest of another. From my experience teenagers are interested in alot of action and romantic films and books. They often times contain alot of physical and sexual content along with a decnt amount of foul language. A older person would not be interested in the foul language and content, they would consider them to be offensive to either the girl or boy in the story and would wonder why it is even being read. Most would even say that the books and movies can be degrading to some, but it is what interests teens and makes them want to read more becasue they can't wait to see what is going to happen next. Removing items such as these would push teens away from reading and viewing alot of movies because nothing then would spark their interest.     Scenes and facts in materials that could be offensive to a person are usually not intended to be. People are not being made to read and watch what offends them. Everybody is different and what offends my neighbor @MONTH1 not offend me. Chances are that there will alwasy be something that is going to offend at least one person. The more we all get used to it , the less many people will actually run into items that offend them. They @MONTH1 still be offended on the insided but it won't matter because they will have realized that not everybody is offended by the same thing",4,4.0,train,Here’s the breakdown of
